model,risk_method,scope,bin_low,bin_high,n,mean_risk,error_rate
plus_10k_context,feature_only,school,0.7,0.8,1,0.7050136631697187,1.0
plus_10k_context,feature_only,school,0.8,0.9,0,,
plus_10k_context,feature_only,school,0.9,1.0,0,,
plus_10k_context,model_confidence,all,0.0,0.1,8,0.07373420610613851,0.125
plus_10k_context,model_confidence,all,0.1,0.2,268,0.16816995269598753,0.16044776119402984
plus_10k_context,model_confidence,all,0.2,0.3,934,0.25574949796509683,0.23233404710920771
plus_10k_context,model_confidence,all,0.3,0.4,955,0.3494835639066743,0.3078534031413613
plus_10k_context,model_confidence,all,0.4,0.5,763,0.44828996538521,0.5124508519003932
plus_10k_context,model_confidence,all,0.5,0.6,586,0.5484978598638538,0.6040955631399317
plus_10k_context,model_confidence,all,0.6,0.7,487,0.6480413045027609,0.6960985626283368
plus_10k_context,model_confidence,all,0.7,0.8,460,0.7488629433438463,0.7804347826086957
plus_10k_context,model_confidence,all,0.8,0.9,420,0.848289248193465,0.8380952380952381
plus_10k_context,model_confidence,all,0.9,1.0,682,0.9662086461431089,0.9296187683284457
plus_10k_context,model_confidence,school,0.0,0.1,6,0.06780211046405073,0.16666666666666666
plus_10k_context,model_confidence,school,0.1,0.2,156,0.16529250818564134,0.14102564102564102
plus_10k_context,model_confidence,school,0.2,0.3,351,0.25518276218770264,0.18803418803418803
plus_10k_context,model_confidence,school,0.3,0.4,322,0.34854822233066407,0.2111801242236025
plus_10k_context,model_confidence,school,0.4,0.5,227,0.4457914657340081,0.41409691629955947
plus_10k_context,model_confidence,school,0.5,0.6,178,0.5492256460366995,0.4157303370786517
plus_10k_context,model_confidence,school,0.6,0.7,133,0.651356607752485,0.5413533834586466
plus_10k_context,model_confidence,school,0.7,0.8,138,0.748309980096747,0.6521739130434783
plus_10k_context,model_confidence,school,0.8,0.9,142,0.8527133110872178,0.8169014084507042
plus_10k_context,model_confidence,school,0.9,1.0,347,0.9720104656727464,0.9193083573487032
plus_10k_context,confidence_graph,all,0.0,0.1,167,0.0717944324862647,0.1317365269461078
plus_10k_context,confidence_graph,all,0.1,0.2,511,0.15168093322011295,0.1780821917808219
plus_10k_context,confidence_graph,all,0.2,0.3,656,0.25095187846662337,0.26371951219512196
plus_10k_context,confidence_graph,all,0.3,0.4,676,0.34932488337318135,0.29142011834319526
plus_10k_context,confidence_graph,all,0.4,0.5,617,0.4500631736586759,0.42625607779578606
plus_10k_context,confidence_graph,all,0.5,0.6,612,0.5494635333035571,0.545751633986928
plus_10k_context,confidence_graph,all,0.6,0.7,565,0.647926344829308,0.6442477876106195
plus_10k_context,confidence_graph,all,0.7,0.8,526,0.7502521142696268,0.7965779467680608
plus_10k_context,confidence_graph,all,0.8,0.9,502,0.8478042047034511,0.8645418326693227
plus_10k_context,confidence_graph,all,0.9,1.0,731,0.9630050384772344,0.9398084815321477
plus_10k_context,confidence_graph,school,0.0,0.1,150,0.0717473394749908,0.10666666666666667
plus_10k_context,confidence_graph,school,0.1,0.2,354,0.14912102056643342,0.1553672316384181
plus_10k_context,confidence_graph,school,0.2,0.3,308,0.24855078100533565,0.2727272727272727
plus_10k_context,confidence_graph,school,0.3,0.4,240,0.3465435512090974,0.35
plus_10k_context,confidence_graph,school,0.4,0.5,158,0.4450962562566776,0.43037974683544306
plus_10k_context,confidence_graph,school,0.5,0.6,141,0.5448203812849657,0.524822695035461
plus_10k_context,confidence_graph,school,0.6,0.7,121,0.6451768841773886,0.6115702479338843
plus_10k_context,confidence_graph,school,0.7,0.8,112,0.7471911969001388,0.7857142857142857
plus_10k_context,confidence_graph,school,0.8,0.9,121,0.84618882734879,0.8347107438016529
plus_10k_context,confidence_graph,school,0.9,1.0,295,0.972436073449516,0.9423728813559322
