model,risk_method,scope,coverage,n,cer,wer,exact,mean_risk
plus_10k_context,feature_only,all,0.4,2225,0.13836319485757687,0.46928838951310864,0.5361797752808989,0.3664686264944707
plus_10k_context,feature_only,all,0.5,2782,0.1390343042212201,0.48214713635274387,0.5215672178289,0.38813908345849796
plus_10k_context,feature_only,all,0.6,3338,0.13819106221565144,0.48150089874176155,0.5170760934691432,0.40893684053399393
plus_10k_context,feature_only,all,0.7,3894,0.13498000751485512,0.479648176682075,0.5118130457113508,0.428726605196101
plus_10k_context,feature_only,all,0.8,4450,0.13375420289890494,0.4810861423220973,0.5006741573033708,0.4481828423777509
plus_10k_context,feature_only,all,0.9,5007,0.13235689549035073,0.4825078223819986,0.48731775514280007,0.46782686867195683
plus_10k_context,feature_only,all,1.0,5563,0.13512656651861726,0.4924261489603931,0.46359877763796514,0.4910302024417381
plus_10k_context,feature_only,school,0.1,200,0.1279642857142857,0.31,0.69,0.24226678625708295
plus_10k_context,feature_only,school,0.2,400,0.12987103174603173,0.34,0.6625,0.2657083325469103
plus_10k_context,feature_only,school,0.3,600,0.12979034391534391,0.36,0.6483333333333333,0.282864940344773
plus_10k_context,feature_only,school,0.4,800,0.12948462301587302,0.378125,0.62875,0.29804156411515803
plus_10k_context,feature_only,school,0.5,1000,0.13024023476523475,0.394,0.613,0.3120611944912923
plus_10k_context,feature_only,school,0.6,1200,0.13209905372405373,0.41,0.5958333333333333,0.32513023697048266
plus_10k_context,feature_only,school,0.7,1400,0.13241308294879722,0.4235714285714286,0.5835714285714285,0.337664743910025
plus_10k_context,feature_only,school,0.8,1600,0.13512185557498058,0.445625,0.56375,0.3504843459904221
plus_10k_context,feature_only,school,0.9,1800,0.13620735129068462,0.4613888888888889,0.5488888888888889,0.364285940142138
plus_10k_context,feature_only,school,1.0,2000,0.13892877261627262,0.47175,0.539,0.3829219684425077
plus_10k_context,model_confidence,all,0.1,556,0.03263800518614315,0.14658273381294964,0.8363309352517986,0.19424886224382165
plus_10k_context,model_confidence,all,0.2,1113,0.0400213244612325,0.1811919736448038,0.7942497753818508,0.22988694414576707
plus_10k_context,model_confidence,all,0.3,1669,0.043027280768869795,0.1957759137207909,0.7717195925704015,0.25965549324181364
plus_10k_context,model_confidence,all,0.4,2225,0.0487202751774881,0.22651685393258425,0.7375280898876404,0.2887683014149573
plus_10k_context,model_confidence,all,0.5,2782,0.0568612304713802,0.2660555954948478,0.692667145938174,0.31951973378453746
plus_10k_context,model_confidence,all,0.6,3338,0.06721593436702733,0.3129568603954464,0.640503295386459,0.35319590214045343
plus_10k_context,model_confidence,all,0.7,3894,0.07706662260256264,0.3507276151343948,0.5993836671802774,0.39128849792165105
plus_10k_context,model_confidence,all,0.8,4450,0.0911260962612408,0.3957453183520599,0.5534831460674158,0.4343903672169016
plus_10k_context,model_confidence,all,0.9,5007,0.10766974267457491,0.4422109047333732,0.5082883962452567,0.4820258277875383
plus_10k_context,model_confidence,all,1.0,5563,0.13512656651861726,0.492426148960393,0.46359877763796514,0.5315585287098061
plus_10k_context,model_confidence,school,0.1,200,0.03338888888888889,0.14,0.86,0.17133045831977584
plus_10k_context,model_confidence,school,0.2,400,0.035143939393939394,0.15,0.8525,0.20912369573917458
plus_10k_context,model_confidence,school,0.3,600,0.039321488696488695,0.17,0.8316666666666667,0.2384071761660917
plus_10k_context,model_confidence,school,0.4,800,0.04346529165279165,0.1875,0.815,0.2677730344290261
plus_10k_context,model_confidence,school,0.5,1000,0.052944574869574865,0.227,0.778,0.29932730067640606
plus_10k_context,model_confidence,school,0.6,1200,0.061890368890368884,0.26916666666666667,0.74,0.33620458733558567
plus_10k_context,model_confidence,school,0.7,1400,0.07083233235018949,0.3025,0.7057142857142857,0.3804604980159155
plus_10k_context,model_confidence,school,0.8,1600,0.08696699134199132,0.35625,0.6525,0.43192694640372653
plus_10k_context,model_confidence,school,0.9,1800,0.10863340209173543,0.4177777777777778,0.5922222222222222,0.48688143031486664
plus_10k_context,model_confidence,school,1.0,2000,0.13892877261627262,0.47175,0.539,0.5376105383107569
plus_10k_context,confidence_graph,all,0.1,556,0.040649293751811734,0.1420863309352518,0.85431654676259,0.11946275446295734
plus_10k_context,confidence_graph,all,0.2,1113,0.051273317378438675,0.1952680443246481,0.8014375561545373,0.17197192208407663
plus_10k_context,confidence_graph,all,0.3,1669,0.05318661266833825,0.21989215098861595,0.7729179149191132,0.21732837448365105
plus_10k_context,confidence_graph,all,0.4,2225,0.05692126244175154,0.24269662921348314,0.7456179775280899,0.2607830165887811
plus_10k_context,confidence_graph,all,0.5,2782,0.06389735796737464,0.2794152887610832,0.7030913012221424,0.304549042067266
plus_10k_context,confidence_graph,all,0.6,3338,0.07212637549999608,0.31468444178150584,0.6581785500299581,0.34884513934415934
plus_10k_context,confidence_graph,all,0.7,3894,0.0809180796418843,0.35184471837014214,0.6096558808423215,0.3939877558922979
plus_10k_context,confidence_graph,all,0.8,4450,0.09216546621322773,0.39626966292134835,0.5586516853932584,0.44095718019948893
plus_10k_context,confidence_graph,all,0.9,5007,0.10760982673044175,0.4420111843419212,0.5096864389854204,0.48954782399740543
plus_10k_context,confidence_graph,all,1.0,5563,0.13512656651861724,0.4924261489603931,0.46359877763796514,0.5382873866414908
plus_10k_context,confidence_graph,school,0.1,200,0.029773809523809522,0.09,0.91,0.08010136880712544
plus_10k_context,confidence_graph,school,0.2,400,0.03146130952380952,0.12,0.8825,0.1106984410794012
plus_10k_context,confidence_graph,school,0.3,600,0.041736111111111106,0.15166666666666667,0.85,0.1401020264712772
plus_10k_context,confidence_graph,school,0.4,800,0.049634920634920636,0.19625,0.80875,0.17065143610403233
plus_10k_context,confidence_graph,school,0.5,1000,0.055063467088467086,0.223,0.784,0.203207367341105
plus_10k_context,confidence_graph,school,0.6,1200,0.06211190198690198,0.25958333333333333,0.75,0.24053362806376918
plus_10k_context,confidence_graph,school,0.7,1400,0.07483288338645482,0.3053571428571429,0.7028571428571428,0.28618572744746423
plus_10k_context,confidence_graph,school,0.8,1600,0.08843356296481296,0.35625,0.651875,0.34064600731617956
plus_10k_context,confidence_graph,school,0.9,1800,0.10869844507344507,0.41638888888888886,0.5927777777777777,0.40184577478750005
plus_10k_context,confidence_graph,school,1.0,2000,0.1389287726162726,0.47175,0.539,0.4607146120532092
