pilot_id,sample_id,dataset,level,method,is_primary_variant,is_page_stress_dataset,image_width,image_height,image_area,foreground_ratio,skeleton_pixels,skeleton_density,node_count,edge_count,component_count,junction_count,endpoint_count,short_branch_count,loop_candidate_count,nodes_per_1k_skeleton,edges_per_1k_skeleton,components_per_1k_skeleton,junctions_per_1k_skeleton,endpoints_per_1k_skeleton,short_branches_per_1k_skeleton,junction_endpoint_ratio,edge_node_ratio,component_node_ratio,mean_width_proxy,warning_count,warning_risk_score,graph_path,overlay_path,warnings
pilot2_hwr200_0005,hwr200_document_condition_006551,hwr200,page_from_document_condition,otsu,False,True,1800,2400,4320000,0.3551675925925926,153284,0.03548240740740741,10989,13695,959,7018,3971,2277,1,71.69045692962084,89.34396284021815,6.256360742151823,45.784295816915005,25.906161112705828,14.854779363795307,1.7673130193905817,1.2462462462462462,0.08726908726908728,7.894572462833664,4,60.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0005/graph_otsu.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0005/graph_overlay_otsu.png,hwr200_page|large_page_scaled|too_many_components|too_many_junctions
pilot2_hwr200_0005,hwr200_document_condition_006551,hwr200,page_from_document_condition,otsu_gridless,True,True,1800,2400,4320000,0.06528935185185185,95636,0.022137962962962963,10710,9815,3155,3476,7234,2249,4,111.98711782174077,102.6287172194571,32.98966916224016,36.34614580283575,75.64097201890502,23.51624911121335,0.4805087088747581,0.9164332399626517,0.2945845004668534,2.926004603547111,4,60.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0005/graph_otsu_gridless.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0005/graph_overlay_otsu_gridless.png,hwr200_page|large_page_scaled|too_many_components|too_many_junctions
pilot2_hwr200_0007,hwr200_document_condition_008365,hwr200,page_from_document_condition,otsu,False,True,853,1136,969008,0.1200619602727738,55528,0.05730396446675363,3824,4285,1380,1475,2349,773,3,68.86615761417663,77.16827546463045,24.85232675407002,26.563175334966143,42.30298227921049,13.920904768765308,0.6279267773520647,1.1205543933054394,0.3608786610878661,2.492804744375041,3,55.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0007/graph_otsu.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0007/graph_overlay_otsu.png,hwr200_page|too_many_components|too_many_junctions
pilot2_hwr200_0007,hwr200_document_condition_008365,hwr200,page_from_document_condition,otsu_gridless,True,True,853,1136,969008,0.08687957168568268,39003,0.04025044168881991,5105,4968,2732,1178,3927,1065,5,130.8873676383868,127.37481732174449,70.04589390559701,30.202804912442634,100.68456272594416,27.30559187754788,0.2999745352686529,0.9731635651322234,0.5351616062683644,2.3851360374134485,3,55.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0007/graph_otsu_gridless.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0007/graph_overlay_otsu_gridless.png,hwr200_page|too_many_components|too_many_junctions
pilot2_hwr200_0008,hwr200_document_condition_008366,hwr200,page_from_document_condition,otsu,False,True,1280,960,1228800,0.09838785807291667,55019,0.04477457682291667,4720,5030,1994,1508,3212,1188,4,85.78854577509587,91.42296297642632,36.24202548210618,27.408713353568768,58.37983242152711,21.59254075864701,0.46948941469489414,1.0656779661016949,0.42245762711864404,2.700405148850575,3,55.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0008/graph_otsu.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0008/graph_overlay_otsu.png,hwr200_page|too_many_components|too_many_junctions
pilot2_hwr200_0008,hwr200_document_condition_008366,hwr200,page_from_document_condition,otsu_gridless,True,True,1280,960,1228800,0.0669921875,39309,0.03198974609375,5573,5325,2965,1206,4367,1390,6,141.77414841384925,135.46516065023278,75.42801902872115,30.679996947263984,111.09415146658526,35.36085883639879,0.27616212502862375,0.9554997308451463,0.5320294275973443,2.3673628224963448,3,55.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0008/graph_otsu_gridless.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0008/graph_overlay_otsu_gridless.png,hwr200_page|too_many_components|too_many_junctions
pilot2_hwr200_0009,hwr200_document_condition_008367,hwr200,page_from_document_condition,otsu,False,True,960,1280,1228800,0.2923917643229167,56224,0.04575520833333333,6327,6582,2387,1995,4332,1735,4,112.53201479795105,117.06744450768355,42.45517928286853,35.483067729083665,77.04894706886739,30.858708025042688,0.4605263157894737,1.0403034613560929,0.37727200885095624,3.845041183315975,3,55.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0009/graph_otsu.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0009/graph_overlay_otsu.png,hwr200_page|too_many_components|too_many_junctions
pilot2_hwr200_0009,hwr200_document_condition_008367,hwr200,page_from_document_condition,otsu_gridless,True,True,960,1280,1228800,0.06267578125,41894,0.03409342447916667,6833,6349,3224,1478,5355,1825,6,163.10211486131666,151.54914784933402,76.95612736907432,35.279514966343626,127.82259989497302,43.562323960471666,0.27600373482726426,0.9291672764525098,0.47182789404361186,2.2599929932033684,3,55.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0009/graph_otsu_gridless.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0009/graph_overlay_otsu_gridless.png,hwr200_page|too_many_components|too_many_junctions
pilot2_hwr200_0010,hwr200_document_condition_000349,hwr200,page_from_document_condition,otsu,False,True,1705,2400,4092000,0.048708211143695015,82400,0.020136852394916912,18842,18296,14847,1874,16968,7000,21,228.66504854368932,222.03883495145632,180.18203883495147,22.74271844660194,205.92233009708738,84.95145631067962,0.11044318717586045,0.9710221844814776,0.7879736758305912,2.44301949205625,5,75.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0010/graph_otsu.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0010/graph_overlay_otsu.png,hwr200_page|large_page_scaled|too_many_components|too_many_junctions|too_many_short_branches
pilot2_hwr200_0010,hwr200_document_condition_000349,hwr200,page_from_document_condition,otsu_gridless,True,True,1705,2400,4092000,0.04799828934506354,81392,0.019890518084066472,19647,19523,16127,1847,17800,7342,21,241.38735993709454,239.86386868488304,198.13986632592884,22.692647926086103,218.69471201100845,90.20542559465304,0.10376404494382023,0.9936886038580954,0.8208377869394818,2.428776359627806,5,75.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0010/graph_otsu_gridless.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0010/graph_overlay_otsu_gridless.png,hwr200_page|large_page_scaled|too_many_components|too_many_junctions|too_many_short_branches
