bucket_type,bucket,model,n,cer,wer,exact,delta_cer_vs_baseline,delta_wer_vs_baseline,delta_exact_vs_baseline,mean_risk_score
risk_quintile,q2,plus_5k_context,1114,0.11329146894037313,0.47187312986235785,0.473967684021544,-0.004923009439721876,-0.010412926391382415,0.006283662477558349,0.2600144598324586
risk_quintile,q2,plus_10k_context,1114,0.10604930238307991,0.462342908438061,0.4865350089766607,-0.012165175997015096,-0.019943147815679296,0.018850987432675048,0.2600144598324586
risk_quintile,q3,baseline,1112,0.13997493732018032,0.5501948441247002,0.39928057553956836,0.0,0.0,0.0,0.3043757268465458
risk_quintile,q3,plus_5k_context,1112,0.12522146258723174,0.5057553956834533,0.454136690647482,-0.01475347473294858,-0.04443944844124692,0.05485611510791366,0.3043757268465458
risk_quintile,q3,plus_10k_context,1112,0.12758322123890814,0.5064298561151079,0.44694244604316546,-0.01239171608127218,-0.043764988009592276,0.047661870503597104,0.3043757268465458
risk_quintile,q4,baseline,1111,0.16416046092922837,0.563081308130813,0.37983798379837985,0.0,0.0,0.0,0.3567770138866094
risk_quintile,q4,plus_5k_context,1111,0.14827510684048736,0.540954095409541,0.39423942394239425,-0.015885354088741005,-0.02212721272127205,0.014401440144014399,0.3567770138866094
risk_quintile,q4,plus_10k_context,1111,0.1474664308760373,0.5422292229222921,0.4095409540954095,-0.01669403005319106,-0.020852085208520887,0.029702970297029674,0.3567770138866094
risk_quintile,q5,baseline,1113,0.18366680265082624,0.48203054806828394,0.4914645103324349,0.0,0.0,0.0,0.5331314310053833
risk_quintile,q5,plus_5k_context,1113,0.1731146881021081,0.46174004192872115,0.5121293800539084,-0.010552114548718156,-0.02029050613956279,0.020664869721473522,0.5331314310053833
risk_quintile,q5,plus_10k_context,1113,0.1793837900219281,0.4877957472297096,0.4887690925426775,-0.004283012628898131,0.005765199161425649,-0.002695417789757404,0.5331314310053833
