model,scope,coverage,n,cer,wer,exact,mean_risk_score
plus_5k_context,school,0.3,600,0.12147440522440521,0.475,0.5333333333333333,0.21575874999999997
plus_5k_context,school,0.4,800,0.1226403735153735,0.485,0.52625,0.23133928124999997
plus_5k_context,school,0.5,1000,0.12208031968031968,0.4855,0.527,0.24591232500000001
plus_5k_context,school,0.6,1200,0.12564232757982755,0.4925,0.5183333333333333,0.260754375
plus_5k_context,school,0.7,1400,0.12988428040213754,0.49642857142857144,0.5135714285714286,0.2795634586941139
plus_5k_context,school,0.8,1600,0.1305915872322122,0.479375,0.529375,0.3082432274619336
plus_5k_context,school,0.9,1800,0.1322923557923558,0.46444444444444444,0.5438888888888889,0.33940165077508433
plus_5k_context,school,1.0,2000,0.14034470945720945,0.465,0.5425,0.3758812384274325
plus_10k_context,all,0.1,556,0.11546240530053478,0.4722721822541966,0.48381294964028776,0.17187544687858158
plus_10k_context,all,0.2,1113,0.11519160976906338,0.46346211440551055,0.48607367475292,0.1963477167414244
plus_10k_context,all,0.3,1669,0.11298263050542831,0.46859396844417817,0.4811264230077891,0.21374474144067787
plus_10k_context,all,0.4,2225,0.11071783574279487,0.46331835205992505,0.4858426966292135,0.22814701887036595
plus_10k_context,all,0.5,2782,0.11512551291172925,0.4801581595974119,0.47304097771387493,0.241152645502828
plus_10k_context,all,0.6,3338,0.11630309363252979,0.4775414419812263,0.47303774715398444,0.2535438586698392
plus_10k_context,all,0.7,3894,0.12049058234696894,0.4834660160931348,0.4650744735490498,0.2659049691094228
plus_10k_context,all,0.8,4450,0.12405728792104762,0.4935842696629213,0.45730337078651684,0.27933397475684185
plus_10k_context,all,0.9,5007,0.13008693479463967,0.5006224618866919,0.45036948272418614,0.29727677915809436
plus_10k_context,all,1.0,5563,0.13512656651861726,0.4924261489603931,0.46359877763796514,0.3301117149697893
plus_10k_context,school,0.1,200,0.11690602453102454,0.4875,0.525,0.17267775
plus_10k_context,school,0.2,400,0.11395315795315795,0.48375,0.5225,0.1973529375
plus_10k_context,school,0.3,600,0.11308890183890184,0.47583333333333333,0.5333333333333333,0.21575874999999997
plus_10k_context,school,0.4,800,0.11252031648906648,0.475625,0.53125,0.23133928124999997
plus_10k_context,school,0.5,1000,0.11535202297702299,0.482,0.53,0.24591232500000001
plus_10k_context,school,0.6,1200,0.11914495226995228,0.4870833333333333,0.5241666666666667,0.260754375
plus_10k_context,school,0.7,1400,0.12436362645291216,0.49892857142857144,0.515,0.2795634586941139
plus_10k_context,school,0.8,1600,0.12835806554556553,0.4865625,0.52625,0.3082432274619336
plus_10k_context,school,0.9,1800,0.13092910330410332,0.4725,0.5394444444444444,0.33940165077508433
plus_10k_context,school,1.0,2000,0.13892877261627262,0.47175,0.539,0.3758812384274325
