model,condition,distortion,level,n,cer,wer,exact,clean_cer,absolute_cer_delta,relative_cer_degradation,robustness_advantage_vs_image_only,summary_path
image_only,thick_strokes_strong,thick_strokes,strong,5563,0.10982143048374661,0.4104769608724311,0.5461082149919109,0.08223581816287687,0.027585612320869743,0.33544522249700826,0.0,outputs/robustness_v1/image_only/thick_strokes_strong/summary.json
image_only,thin_strokes_medium,thin_strokes,medium,5563,0.09470299955193909,0.37158307867457585,0.5888908862124753,0.08223581816287687,0.01246718138906222,0.1516028133187613,0.0,outputs/robustness_v1/image_only/thin_strokes_medium/summary.json
image_only,thin_strokes_mild,thin_strokes,mild,5563,0.09470299955193909,0.37158307867457585,0.5888908862124753,0.08223581816287687,0.01246718138906222,0.1516028133187613,0.0,outputs/robustness_v1/image_only/thin_strokes_mild/summary.json
image_only,thin_strokes_strong,thin_strokes,strong,5563,0.2232730314182972,0.57881538738091,0.38252741326622325,0.08223581816287687,0.14103721325542035,1.7150338673116987,0.0,outputs/robustness_v1/image_only/thin_strokes_strong/summary.json
graph_vector_v2,blur_medium,blur,medium,5563,0.16183237896928682,0.5323509711989284,0.39115585115944634,0.1396980739198334,0.022134305049453407,0.15844388135340587,0.015185280771454729,outputs/robustness_v1/graph_vector_v2/blur_medium/summary.json
graph_vector_v2,blur_mild,blur,mild,5563,0.14781884435190004,0.5068988613529806,0.4208161064174007,0.1396980739198334,0.008120770432066632,0.058130868981964526,-0.01541010731310831,outputs/robustness_v1/graph_vector_v2/blur_mild/summary.json
graph_vector_v2,blur_strong,blur,strong,5563,0.19504424778761062,0.584594775619558,0.3363293187129247,0.1396980739198334,0.05534617386777721,0.39618423013861986,0.1633950565928341,outputs/robustness_v1/graph_vector_v2/blur_strong/summary.json
graph_vector_v2,clean,clean,clean,5563,0.1396980739198334,0.4904219691895512,0.43897177781772423,0.1396980739198334,0.0,0.0,0.0,outputs/robustness_v1/graph_vector_v2/clean/summary.json
graph_vector_v2,low_contrast_medium,low_contrast,medium,5563,0.15954190525767828,0.5397186872069658,0.38504404098508,0.1396980739198334,0.01984383133784487,0.14204799523028766,0.25082962046613555,outputs/robustness_v1/graph_vector_v2/low_contrast_medium/summary.json
graph_vector_v2,low_contrast_mild,low_contrast,mild,5563,0.1477147319104633,0.5126590756865371,0.4152435736113608,0.1396980739198334,0.008016657990629894,0.0573856014309138,0.11663556078777927,outputs/robustness_v1/graph_vector_v2/low_contrast_mild/summary.json
graph_vector_v2,low_contrast_strong,low_contrast,strong,5563,0.176762103071317,0.5710649698593436,0.34873269818443287,0.1396980739198334,0.0370640291514836,0.2653152481740945,0.4006148553287722,outputs/robustness_v1/graph_vector_v2/low_contrast_strong/summary.json
graph_vector_v2,noise_medium,noise,medium,5563,0.15029672045809475,0.5131949095780308,0.41344598238360597,0.1396980739198334,0.010598646538261342,0.07586823669697436,0.19143860322086276,outputs/robustness_v1/graph_vector_v2/noise_medium/summary.json
graph_vector_v2,noise_mild,noise,mild,5563,0.1415929203539823,0.4957803081044876,0.432140931152256,0.1396980739198334,0.001894846434148889,0.013563869429125117,0.013570454828166593,outputs/robustness_v1/graph_vector_v2/noise_mild/summary.json
graph_vector_v2,noise_strong,noise,strong,5563,0.1757209786569495,0.5552578700602813,0.3670681287075319,0.1396980739198334,0.036022904737116085,0.25786257266358625,0.7008524875715455,outputs/robustness_v1/graph_vector_v2/noise_strong/summary.json
graph_vector_v2,thick_strokes_medium,thick_strokes,medium,5563,0.15021343050494534,0.5095780308104487,0.4208161064174007,0.1396980739198334,0.010515356585111935,0.07527202265613366,-0.018249243044141994,outputs/robustness_v1/graph_vector_v2/thick_strokes_medium/summary.json
graph_vector_v2,thick_strokes_mild,thick_strokes,mild,5563,0.15021343050494534,0.5095780308104487,0.4208161064174007,0.1396980739198334,0.010515356585111935,0.07527202265613366,-0.018249243044141994,outputs/robustness_v1/graph_vector_v2/thick_strokes_mild/summary.json
graph_vector_v2,thick_strokes_strong,thick_strokes,strong,5563,0.17963560645497137,0.562357669122572,0.3593384864281862,0.1396980739198334,0.03993753253513796,0.28588463258309743,0.049560589913910824,outputs/robustness_v1/graph_vector_v2/thick_strokes_strong/summary.json
graph_vector_v2,thin_strokes_medium,thin_strokes,medium,5563,0.15608537220197813,0.5202947086403215,0.4046377853676074,0.1396980739198334,0.01638729828214472,0.11730511253540024,0.03429770078336106,outputs/robustness_v1/graph_vector_v2/thin_strokes_medium/summary.json
graph_vector_v2,thin_strokes_mild,thin_strokes,mild,5563,0.15608537220197813,0.5202947086403215,0.4046377853676074,0.1396980739198334,0.01638729828214472,0.11730511253540024,0.03429770078336106,outputs/robustness_v1/graph_vector_v2/thin_strokes_mild/summary.json
graph_vector_v2,thin_strokes_strong,thin_strokes,strong,5563,0.2970327954190526,0.681178834561286,0.24465216609742946,0.1396980739198334,0.15733472149921918,1.1262483231480103,0.5887855441636884,outputs/robustness_v1/graph_vector_v2/thin_strokes_strong/summary.json
gated_v2_dist,blur_medium,blur,medium,5563,0.1633940655908381,0.5370395177494977,0.3906165737911199,0.14375845913586674,0.019635606454971366,0.1365874855156431,0.037041676609217505,outputs/robustness_v1/gated_v2_dist/blur_medium/summary.json
